url,title,descr
,В Москве прошла акция с требованием прекратить уголовное преследование фигурантов дела «Новое величие»,Несколько десятков человек собрались возле станции метро Третьяковская…
,"В Москве этим утром ожидается снегопад, местами метель и усиления ветра",Синоптики объявили «желтый» уровень погодной опасности
,На Сокольнической линии Московского метро сегодня будут закрыты две станции «Румянцево» и «Саларьево»,Это связано с вводом в эксплуатацию нового участка красной ветки
,'Барселона' в гостях обыграла 'Реал' со счетом 1:0 в матче 26-го тура чемпионата Испании,Встреча первого круга текущего сезона завершилась со счетом 5:1 в пользу каталонского клуба
,Принадлежащая Би-би-си радиостанция Radio 2 байкотирует песни Майкла Джексона из-за новых обвинений в педофилии,Композиции певца «тихо исчезли» из эфира перед телепремьерой документального фильма «Покидая Неверленд»
,Лидер венесуэльской оппозиции Хуан Гуайдо объявил о намерении вернуться в Венесуэлу,Он также собирается объявить о новых манифестациях против действующего президента Николаса Мадуро
,В Ростове-на-Дону задержан бывший министр финансов ДНР Александр Тимофеев,Его доставили в Москву
,В столице Черногории Подгорице состоялся многотысячный протестный марш,Демонстранты требовали отставки президента страны Мило Джуканович и его правительства
,США и Южная Корея договорились прекратить две серии регулярных военных учений,"Решение принято на фоне саммита США-КНДР, который прошел на этой неделе в Ханое"
,Место заправки ракет 'Союз' на Байконуре оборудуют камерами видеонаблюдения,"Решение принято после недавнего инцидента, когда в третьей ступени ракеты преждевременно закончился окислитель из-за недолива"
,Суд Кисловодска арестовал 10 суток Александра Емельяненко за неповиновение полиции,"На заседании он признался, что был пьян и извинился перед сотрудниками полиции"
,США и Южная Корея прекращают совместные военные учения,Цель — ускорение процесса денуклеаризации Корейского полуострова
,SANA со ссылкой на источники сообщает о применении белого фосфора при авиаударе в провинции Дейр-аз-Зор,"По данным сирийского агентства, запрещенные бомбы использовала международная коалиция во главе с США"
,В городе Усолье-Сибирское Иркутской области нашли мертвой адвоката Галину Музыку,"Она перестала выходить на связь вскоре после разговора с местным жителем, который сообщил об избиениях в отделе полиции"
,В Ростове-на-Дону задержан бывший министр финансов ДНР Александр Тимофеев,Его подозревают в рейдерском захвате агропромышленного предприятия в 2017 году
,Зонду NASA Mars InSight впервые удалось пробурить грунт на Марсе,Об этом говорится в сообщении на сайте Германского центра авиации и космонавтики
,В Париже в ходе протестов «желтых жилетов» задержали 33 человека,"По данным МВД, в акции участвовало 4 тысячи человек"
,"Юлия Тимошенко пообещала в случае победы на выборах вернуть жителям страны вклады, потерянные после распада СССР",Данное заявление лидер партии «Батькивщина» сделала во время выступления перед потенциальными избирателями
,Следователи начали проверку инцидента с пассажирским самолетом в Пулково,Он выкатился за пределы взлетно-посадочной полосы
,"Задержанному в Греции россиянину Евгению Калинину, грозит смертельная опасность в случае экстрадиции на Украину","По крайней мере, так утверждает его адвокат Яннис Рахиотис"
,«Барселона» на выезде победила «Реал» в центральном матче 26-го тура чемпионата Испании,Встреча в Мадриде завершилась со счетом 1:0 в пользу гостей
,Число пострадавших в результате протестов в Алжире возросло до 183 человек,Об этом сообщает агентство APS со ссылкой на министерство здравоохранения
,Минобороны России обвинило США в препятствовании вывоза сирийских беженцев,"Американские военные отказались пропустить транспортные колонны, отправленные в лагерь «Эр-Рукбан»"
,Суд Кисловодска арестовал Александра Емельяненко на 10 суток по административной статье о неповиновении полиции,"37-летний боец смешанных единоборств признался, что действительно находился за рулем в нетрезвом состоянии и нагрубил полицейским"
,Основателю британского фонда Hermitage Capital Уильяму Браудеру в России предъявлено новое обвинение,На этот раз в убийстве российского бизнесмена Александра Перепеличного в 2012 году
